"Location ID","Location Name","Location Name (Spanish)",Address,"Address Line 2",City,State,Zip
839,"Countryside Elementary",,"15034 N. Parkview Pl.",,Surprise,AZ,85379
67,"Countryside Recreation Center",,"15038 N Parkview Place",,Surprise,AZ,85374
339,"Coyote Hills elementary",,"21180 N.87 Ave.",,Peoria,AZ,85382
936,"Coyote Ridge School",,"7677 W Bethany Home Rd",,Glendale,AZ,85303
882,"Coyote Trail Elementary",,"8000 N. Silverbell Rod",,Tucson,AZ,85743
685,"Craigin Elementry",,"2945 N. Tucson Blvd.",,tucson,AZ,85716
527,"Creative Center for Early Education",,"3020 E. Cactus Rd",,Phoenix,AZ,85022
517,"Creative Kids Preschool",,"1310 W. Ina Road",,Tucson,AZ,85704
629,"Crismon Elementary",,"825 W Medina",,Mesa,AZ,85210
585,"Crismon Elementary",,"1313 W. Medina",,Mesa,AZ,85202
907,"Cromer FACTS",,"7150 E. Silver Saddle Rd.",,Flagstaff,AZ,86004
782,"Cromer FACTS",,"7150 E. Silver Saddle",,Flagstaff,AZ,86004
188,"CTA Freedom",,"6040 S Joslyn Ln",,Gilbert,AZ,85298
898,"CTA - Freedom Elementary",,"6040 S. Joslyn Lane",,"Gilbert ",AZ,85298
899,"CTA - Goodman Elementary",,"2600 W. Knox Road",,Chandler,AZ,85224
641,"CTA Independence",,"1405 W. Lake Dr.",,Chandler,AZ,85248
164,"CTA Liberty",,"550 N Emmett",,,AZ,85225
207,"Curry Elementary",,"1974 E. Meadow Dr.",,Tempe,AZ,85282
218,"Curry School",,"1974 E Meadow Dr.",,Tempe,AZ,85282
343,"DAISY EDUCATION CORP",,"2325  W SUNSET RD",,TUCSON,AZ,85741
700,"Davidson Elementary",,"6935 West Osborn Road",,Phoenix,AZ,85033
604,"Davidson Elementary",,"3950 E Paradise Falls",,Tucson,AZ,85712
32,"Davis Monthan",,"5741 E Broadway Blvd",,Tucson,AZ,85708
753,"Deer Valley Rock Art Center",,"3711 W. Deer Valley Rd.",,Phoenix,AZ,85308
335,"Degracia Elementary school",,"5070 w. warbler St.",,Tucson,AZ,85742
883,"DeGrazia Elementary",,"5051 W. Overton Rd",,Tucson,AZ,85742
783,"DeMiguel FACTS",,"3500 S. Gillenwater Dr.",,Flagstaff,AZ,86001
497,"Desert Canyon Elementary School",,"10203 E. McDowell Mtn. Ranch Rd.",,Scottsdale,AZ,85255
472,"Desert Cove Elementary",,"11020 N. 28th st.",,phoenix,AZ,85024
663,"Desert Cove Elementary School",,"11020 North 28th Street",,Phoenix,AZ,85028
1096,"Desert Cross Lutheran Church",,"8600 S. McClintock Dr.",,Tempe,AZ,85284
355,"Desert Dove Farm",,"11865 E. Speedway",,Tucson,AZ,85748
26,"Desert Foothills Junior High School",,"3333 W Banff",,Phoenix,AZ,85053
237,"Desert Garden Elementary School",,"7020 W Ocotillo",,Glendale,AZ,85301
168,"Desert Harbor Elementary",,"15585 N. 91 Ave.",,Peoria,AZ,85383
1008,"Desert Mesa Discovery Club","Desert Mesa Discovery Club","2350 S. Avenue 7 1/2 E",,"Yuma,",AZ,85365
123,"Desert Mirage Elementary",,"8605 W. Maryland",,Glendale,AZ,85305
878,"Desert Moon Elementary School",,"23251 N166th Dr",,Surprise,AZ,85387
268,"Desert Mosaic School",,"5757 W. Ajo Highway",,Tucson,AZ,85735
780,"Desert Mountain Before/after Care Program",,"35959 N 7th ave ",,Phoenix,AZ,85027
765,"Desert MountainBefore/After Care program",,"35959 N 7th Ave",,"Desert Hills",AZ,85086
4,"Desert Mountain Elementary School",,"22301 S. Hawes Road",,"Queen Creek",AZ,85242
1108,"Desert Oasis Elementary",,"17161 W Bajada Road",,Surprise,AZ,85371
1044,"Desert Oasis Elementary School",,"8802 W. McDowell Rd. ",,"Phoenix ",AZ,85037
408,"Desert Sage Elementary School",,"4035 W. Alameda",,Glendale,AZ,85310
367,"Desert Shadows Elementary",,"5902 E. Sweetwater",,Scottsdale,AZ,85254
632,"Desert Springs Elementary School",,"6010 E. Acoma",,Scottsdale,AZ,85254
615,"Desert Star School",,"2131 S 157th Ave",,Goodyear,AZ,85338
161,"Desert Sun Academy",,"27880 N 64th St",,Scottsdale,AZ,85262
379,"Desert Trails Elementary",,"4315 E. Cashman Drive",,Phoenix,AZ,85050
414,"Desert View Elementary School",,"8621 N. 3rd Streeet",,Phoenix,AZ,85020
672,"Desert View Elementary School",,"1508 N 10th Ave",,"San Luis",AZ,85349
706,"Desert View Elementary School",,"8621 N. 3rd Street",,Phoenix,AZ,85020
